DonorName,RecipientName,2015,2016,2017,2018,2019
Adaptation Fund,Kenya,0,0,0,3.95418,0
Adaptation Fund,Uganda,0,1.59039,0,0,2.44648
African Development Bank,Kenya,0,0,0,0.422103,0.825059
African Development Bank,Uganda,0.0422339,0.133243,0,0,0
African Development Bank,Zambia,0.00579888,0.1804664,0.259924,1.6593141,0.6018223
African Development Fund,Kenya,273.6435784,210.127852,207.391455,189.3287008,90.2272213
African Development Fund,Uganda,118.2058898,136.35115352,78.0220498,111.670168,87.6951308
African Development Fund,Zambia,65.0124,36.3161199,25.0733213,19.347932,36.407336
Arab Bank for Economic Development in Africa,Kenya,1.4776653,0,0,0,0
Arab Bank for Economic Development in Africa,Uganda,8.5220716,0,0,0,0
Arab Bank for Economic Development in Africa,Zambia,4.01787,0,0,0,0
Arcus Foundation,Kenya,0.4349645,0.2687409,0.2632605,0.2235316,0.48863128
Arcus Foundation,Uganda,0.2847037,0.4832125,0.4072883,0.2955953,0.3783269
Arcus Foundation,Zambia,0,0,0.1246646,0.065,0.11162276
Australia,Kenya,8.1964785246,2.7590889125,7.631287346,2.67993432003,2.094533409
Australia,Uganda,3.9552305408,1.4848804405,7.2144746939,1.0891273825,0.939398703
Australia,Zambia,3.1153104646,1.3833254655,3.771784298,1.9368896723,1.18069162
Austria,Kenya,3.16478144,2.41414394,7.145666134,7.986391567,3.671661857
Austria,Uganda,11.85296631,12.96593834,15.253039884,8.166940768,15.543420959
Austria,Zambia,0.0356089,0.03025868,0.3233966,0.29395002,0.2384709
Belgium,Kenya,14.21564135,21.60878928,26.271155346,18.584599522,13.62001079
Belgium,Uganda,18.777151173,20.27217846,23.74460174,26.13539377,35.32456506
Belgium,Zambia,1.4379913,1.81855003,1.34161161,1.31890814,1.25992529
Bill & Melinda Gates Foundation,Kenya,55.840710357,43.563427109,49.1232002,69.02602178,68.58688354
Bill & Melinda Gates Foundation,Uganda,37.500589089,48.49874122,35.7053035,42.15043239,31.15408042
Bill & Melinda Gates Foundation,Zambia,17.550015155,21.9982323,22.49419938,14.0358295,16.648183126
Canada,Kenya,36.201361019,40.234715446,33.7354069131,36.48427914458,37.7276331339
Canada,Uganda,9.034955041,6.3681884019,19.01711132,15.552762597742,14.080334899
Canada,Zambia,2.9040575,1.41199379,1.972791067,4.248187754,3.990088717
Central Emergency Response Fund,Kenya,0,0,10.763848,4.94551,8.163702
Central Emergency Response Fund,Uganda,0,0,15.617231,23.0868,22.728183
Central Emergency Response Fund,Zambia,0,0,0,6.55978,8.143393
Charity Projects Ltd (Comic Relief),Kenya,8.31916927,1.22046551,3.37805302,2.130595538,3.100684513
Charity Projects Ltd (Comic Relief),Uganda,8.63452195,0.69884665,4.818236818,4.095852333,6.051875011
Charity Projects Ltd (Comic Relief),Zambia,3.5550552,0,1.20456724,0.86733853,1.970705279
Children's Investment Fund Foundation,Kenya,0,0,17.11052347,13.7432382,12.96565582
Children's Investment Fund Foundation,Uganda,0,0,4.23516,3.067004,0.164559
Citi Foundation,Kenya,0,0,0,0,0.7497365
Citi Foundation,Uganda,0,0,0,0.075,0.2666771
Citi Foundation,Zambia,0,0,0,0,0.1193028
Climate Investment Funds,Kenya,4.54969,1.375674,3.410688,2.078459,0
Climate Investment Funds,Uganda,0,0.295971,0,0,0
Climate Investment Funds,Zambia,1.99633,0.4170632,13.276254,15.01591,0
Conrad N. Hilton Foundation,Kenya,3.5087141,3.2908511,2.7263021,4.6326,2.605474
Conrad N. Hilton Foundation,Uganda,0.147624,1.7689895,2.375061,2.95649,3.4368215
Conrad N. Hilton Foundation,Zambia,1.8801001,1.7015739,2.2537436,2.1355,2.6210959
Croatia,Kenya,0,0,0.00390374,0,0
Czech Republic,Kenya,0.11430573,0.21968537,0.0701715,0.063524559,0.0377733096
Czech Republic,Uganda,0.0969446,0.0957332,0.18876,0.00993519,0.05919595
Czech Republic,Zambia,0.71340386,1.04992227,1.87006992,1.90541334,2.57261123
David & Lucile Packard Foundation,Kenya,0,0,1.323132,0,0
David & Lucile Packard Foundation,Uganda,0,0,0.810952,0.0666666,0
Denmark,Kenya,63.437078463,53.96538991,50.875216156,54.33969947,60.59227838
Denmark,Uganda,32.2288560847,45.549069823,59.363875845,50.03595605,46.4491126
Denmark,Zambia,20.6524758342,1.7746744,4.58601963,2.5610152,0.789214
Dutch Postcode Lottery,Kenya,0,0,0,0,4.8399781
Dutch Postcode Lottery,Uganda,0,0,0.597689,0.737637,0.807475
Dutch Postcode Lottery,Zambia,0,0,0,0.708132,0
EU Institutions,Kenya,144.1915177977,166.9599727012,179.70014597,109.8957029344,102.24264282
EU Institutions,Uganda,134.248180781,81.740712278,164.669256792,107.713269623,152.708134926
EU Institutions,Zambia,84.282243156,138.50091695,57.476132017,49.32372473,101.41911675
Estonia,Kenya,0.0377434,0.01408177,0.02960193,0.03422636,0.01255712
Estonia,Uganda,0.1028183,0.05120627,0.0641375,0.1121209,0.03995458
Estonia,Zambia,0,0.0089611,0.00123341,0,0
Finland,Kenya,34.098252737,19.03184782,17.262066447,16.26066535,9.48862661
Finland,Uganda,6.716082617,3.368084832,5.284142851,5.318254685,5.113301934
Finland,Zambia,17.433610328,12.057144211,11.659181962,6.393098202,8.841599332
Food and Agriculture Organisation,Kenya,0,0,0,0.759818,1.00518409
Food and Agriculture Organisation,Uganda,0,0,0,0.51069,0.4422543
Food and Agriculture Organisation,Zambia,0,0,0,0.7713702,0.9460795
Ford Foundation,Kenya,0,0,10.8579046,7.851331,7.82832315
Ford Foundation,Uganda,0,0,2.581384,2.494773,1.70302507
Ford Foundation,Zambia,0,0,0,0.0516,0.56248427
France,Kenya,111.12057314,95.291686684,82.45132761,115.115533082,134.0969550629
France,Uganda,11.42119787,15.259206552,55.25255254,71.84959672,22.801152989
France,Zambia,31.565423966,45.29211804,7.958034385,0.41234209,3.06098269
Gatsby Charitable Foundation,Kenya,1.13163,0.4453722,1.266782,5.338139,9.6920622
Germany,Kenya,78.044221557,94.649018815,133.072484583,96.94952979,94.762098051
Germany,Uganda,58.350422698,51.607384648,71.936087106,52.62784312,68.815304493
Germany,Zambia,35.330282925,30.0378109208,34.9098156996,39.61428596,34.673787647
Global Alliance for Vaccines and Immunization,Kenya,72.9152538,32.4238107,33.6466503,24.30161,36.960328
Global Alliance for Vaccines and Immunization,Uganda,44.0344201,55.0833871,31.516602,39.85795,70.5590498
Global Alliance for Vaccines and Immunization,Zambia,18.720121,19.849828399,13.237194,18.26239,23.8460045
Global Environment Facility,Kenya,4.399904,5.924528,2.40709164,2.0841765,2.01565734
Global Environment Facility,Uganda,5.3644594,5.2501536,4.9681882416829,4.5814786,2.8960405
Global Environment Facility,Zambia,4.4869656,5.777106,6.1733523104207,5.45669439,3.20886
Global Fund,Kenya,120.62483,112.79791,175.72132,86.84655,116.46788
Global Fund,Uganda,116.747344,207.3525,122.22562,167.04053,137.02367
Global Fund,Zambia,40.29562,91.66267,132.79892,98.45617,93.26208
Global Green Growth Institute,Uganda,0.0629928,0.469556,1.09974,1.03187,0.0878992
Grameen Crédit Agricole Foundation,Kenya,0,0,0.709772,1.746453,4.032154
Grameen Crédit Agricole Foundation,Uganda,0,0,0,0,1.786841
Grameen Crédit Agricole Foundation,Zambia,0,0,0.566755,1.768389,0.348551
Greece,Kenya,0.0361594,0.00741229,0.0104705,0.00734097,0.0224372
Greece,Uganda,0.03923982,0.00526725,0.00737559,0.0125528,0.0163337
Greece,Zambia,0.00175214,0,0,0.011665429,0
Green Climate Fund,Kenya,0.0358899,0,0,0.778557,0.263645
Green Climate Fund,Uganda,0,0,2.72811,0,1.944681
Green Climate Fund,Zambia,0,0.0636155,0,3.07761,0.0611621
H&M Foundation,Kenya,0,0,0,0.1909111,0.0932695
H&M Foundation,Uganda,0,0,0.588055,1.3416081,1.2125045
Hungary,Kenya,0.03903631,0.1740354,0.2153436,2.04670453,2.135866267
Hungary,Uganda,0.03105482,0.8075951,0.0762102,0.3437367,8.42776281
Hungary,Zambia,0.0014438,0.00238085,0.00230073,0,0.004387935
IFAD,Kenya,9.1411657,9.64759,25.991701,20.26759,23.79715
IFAD,Uganda,16.7130646,13.61474,18.5133,21.30198,28.79758
IFAD,Zambia,14.752043,11.354553,15.795558,12.207,10.8506
IKEA Foundation,Kenya,0,0,0,0,0
IKEA Foundation,Uganda,0,0,0,0,0
IMF (Concessional Trust Funds),Kenya,0,0,0,0,0
IMF (Concessional Trust Funds),Uganda,0,0,0,0,0
IMF (Concessional Trust Funds),Zambia,0,0,0,0,0
Iceland,Kenya,0,0.116156,0.075806,0.2578869,0.26968904
Iceland,Uganda,4.3261199,5.6632809,5.2284441,8.14774836,6.90671904
International Atomic Energy Agency,Kenya,0.404394,0.528289,0.493877,0.466682,0.2538683
International Atomic Energy Agency,Uganda,0.404931,0.468762,1.11171,0.697079,0.519428
International Atomic Energy Agency,Zambia,0.254661,0.394159,0.163553,0.441536,0.2367928
International Development Association,Kenya,497.0884455,475.559999437,600.9910523,762.03720698,1523.44458558722
International Development Association,Uganda,236.185707,189.9621685,279.53497152,220.926373,410.418826
International Development Association,Zambia,70.418335,99.16214993,98.3493866,141.336889,123.496286
International Labour Organisation,Kenya,0.31331858,0.43341249,0.38419102,0.749935226,1.70272107
International Labour Organisation,Uganda,0.253624945,0.38524506,0.34624949,0.6432253633,0.62368123
International Labour Organisation,Zambia,1.066593216,0.73155647,1.2930761,1.038812282,2.071845095
Ireland,Kenya,8.593468512,8.7494822,8.013181706,7.720764536,8.336817341
Ireland,Uganda,27.51453441,28.706497658,29.597245565,31.05117729,24.81252105245
Ireland,Zambia,20.85892887,13.565139455,14.537434897,6.94660912507,7.34336996
Islamic Development Bank,Kenya,0,0.127337,0.566283,0,0
Islamic Development Bank,Uganda,17.6322,31.346125,18.258731,4.83753,4.82519
Islamic Development Bank,Zambia,0,0,0.168816,0,0
Israel,Kenya,0.491391,0.696385,0.809264,1.36646,0.22911
Israel,Uganda,0.0344407,0.0607783,0.115137,0.621873,0.168397
Israel,Zambia,0.00344418,0,0.06295,0.114366,0.00244602
Italy,Kenya,22.857739001,7.271917428,14.6475357216,15.283756131,17.0235415029
Italy,Uganda,3.78422292,4.39276201,4.44081034,6.89914713,6.860730857
Italy,Zambia,0.560479933,1.116208382,0.599069976,1.13631066,0.39168485
Jacobs Foundation,Kenya,0,0,0,0,0.1128112
Jacobs Foundation,Uganda,0,0,0,0,0.1128112
Japan,Kenya,244.81314855,161.991439912,165.115257911,224.119442108,284.789919453
Japan,Uganda,77.179443173,65.6447228877,65.546526874,72.130906241,64.684876499
Japan,Zambia,26.6629472524,38.245810826,25.732994684,34.425797631,45.884534477
John D. & Catherine T. MacArthur Foundation,Kenya,0,0,0.4783765,0.776167,0.0491247
John D. & Catherine T. MacArthur Foundation,Uganda,0,0,1.5211746,1.05,0
John D. & Catherine T. MacArthur Foundation,Zambia,0,0,0,1,0
Korea,Kenya,6.38000762,10.01361259,11.89120966,22.452512,26.05321074
Korea,Uganda,25.02415874,30.31146325,30.174328096,24.658823,29.162844344
Korea,Zambia,0.26455549,0.39563312,4.09170015,1.459321,1.68885661
Kuwait,Kenya,0.585364,2.844579,4.453515,21.69807,3.26933
Kuwait,Uganda,1.495846,6.22898,5.66113,21.976,2.505043
Kuwait,Zambia,0,0,7.61103,0,0
LEGO Foundation,Kenya,0,0,0,0.068099,1.1120193
LEGO Foundation,Uganda,0,0,0,0.786686,3.443855
LEGO Foundation,Zambia,0,0,0,0,0.671849
Laudes Foundation,Kenya,0,0,0.102477,0,0
Luxembourg,Kenya,0.64147337,0.6649738,0.25819713,0.1834573,0.419649285
Luxembourg,Uganda,0.0879407,0.0870308,0.250027,0.363448083,0.335351846
Luxembourg,Zambia,0,0.100163,0.3063605,0.329889302,0.180640931
MAVA Foundation,Zambia,0,0,0,3.54066,0
Malta,Kenya,0.0587001,0.049961,0.0126607,0.0201147,0.195448
Malta,Uganda,0.0379738,0.02748,0,0,0.0874902
Malta,Zambia,0,0,0,0.000977222,0
Margaret A. Cargill Foundation,Kenya,0,0,2.04872,2,0
MasterCard Foundation,Kenya,0,0,13.01358311,22.30260605,51.1788736
MasterCard Foundation,Uganda,0,0,34.5812168,32.33735575,40.84439647
MasterCard Foundation,Zambia,0,0,7.769961,7.622778,3.6885924
McKnight Foundation,Kenya,0,0,0,0.233,0.3733474
McKnight Foundation,Uganda,0,0,0,0.382,0.1847088
Netherlands,Kenya,21.23429187,22.80110399,23.64540464,16.98292922,11.46999708
Netherlands,Uganda,16.2507586122723,19.0349442,20.4073203,30.42513458,33.51227516
Netherlands,Zambia,0.0109819,0,0,0,0
New Zealand,Kenya,1.3156219,0.8684907,1.622601,1.113432,0.726661
New Zealand,Uganda,0.130738,0.05514445,0.0300611,0.1063181,0.0945922
New Zealand,Zambia,0.1800332,0.5183571,1.3184918,1.3822708,1.0319423
Nordic Development Fund,Kenya,0.0437782,0.629518,0.206564,1.005783,0.0098031
Nordic Development Fund,Uganda,0.0731854,0.371717,0.417793,1.28337,0.814072
Nordic Development Fund,Zambia,0,0,0.919161,0.981116,0.4771018
Norway,Kenya,14.96330011,11.957379,12.845323827,14.919868645,14.398505891
Norway,Uganda,49.98931281,49.943750717,32.280734591,36.10829466,38.821341663
Norway,Zambia,24.08205936,16.65842144,13.853424833,9.86525395,8.192046448
OPEC Fund for International Development,Kenya,1.780015,2.0705355,4.37691305,3.582147,5.1701461
OPEC Fund for International Development,Uganda,9.153764,7.5407361,3.78799105,8.682838,3.451833
OPEC Fund for International Development,Zambia,1.9220421,2.2962371,5.6663331,4.495228,1.98438218
Oak Foundation,Kenya,0,0,0,0.32,0.35315
Oak Foundation,Uganda,0,0,1.312597,3.07968,0.504503
Oak Foundation,Zambia,0,0,0.757268,0.19672,0
"Omidyar Network Fund, Inc.",Kenya,0,0,0,0.745,0.8572264
"Omidyar Network Fund, Inc.",Uganda,0,0,0,0,0.211236
People's Postcode Lottery,Kenya,0,0,0,0,0.326684
People's Postcode Lottery,Uganda,0,0,0,0,0.784042
People's Postcode Lottery,Zambia,0,0,0,0,0.130674
Poland,Kenya,0.70155142,9.8976773,1.9785992,7.98302754,6.11570756
Poland,Uganda,0.25068742,0.05212516,0.0134404,0.2925778,0.36246237
Poland,Zambia,0.05152262,0.0138058,0.03564165,0.02651478,0.0993893
Portugal,Kenya,0,0.00590224,0.048607776,0.07416731,0.07107137
Portugal,Uganda,0,0,0,0.0454385,0.0396624
Portugal,Zambia,0,0.000507471,0,0,0
Qatar,Kenya,0,0,0,0,0.03257853
Qatar,Uganda,0,0,0,0,0.535266
Rockefeller Foundation,Kenya,0,0,0,3.514166,3.2986661
Rockefeller Foundation,Uganda,0,0,0,2.111152,3.83625848
Rockefeller Foundation,Zambia,0,0,0,1.430748,0.320256
Romania,Kenya,0.03323535,0.00861343,0.00696643,0.00433525,0.00265677
Romania,Uganda,0.00431051,0.00250654,0.003179677,0.00469293,0.05978075
Romania,Zambia,0.00198971,0,0,0.154296,0
Russia,Kenya,0,0,1.0243,0,0.984696
Russia,Uganda,1.26826,0,0,0,1.47704
Russia,Zambia,0,0,0,0,0.228271
Saudi Arabia,Kenya,0,1.3822563,2.64487,4.775894,8.867709
Saudi Arabia,Uganda,10.6898153,6.30753,1.231542,4.935832,5.194513
Saudi Arabia,Zambia,0,3.70736,4.39891,5.3071267,4.773755
Slovak Republic,Kenya,1.44447639,2.328508106,1.578425442,1.76974,2.651158126
Slovak Republic,Uganda,0.02184411,0.01225745,0.04911178,0.01241,0.077586953
Slovenia,Kenya,0.074089,0,0.0325761,0,0
Slovenia,Uganda,0.0296356,0.0379938,0.0844565,0.059011,0.0617433
Spain,Kenya,0.3888783942,0.762072628,0.640237137,0.624615392,0.68130292
Spain,Uganda,0.16449345,0.23834844,0.589581084,0.714558796,1.121423817
Spain,Zambia,0.00109216,0.00910483,0.015528905,0.025542167,0.010072623
Sweden,Kenya,66.4989739625,55.2951927491,63.70752476,55.232022018,51.872803017
Sweden,Uganda,42.950235426,45.625824416,57.66441622,60.2086512224,59.9372759792
Sweden,Zambia,52.659380135059,45.667792302,58.382143347,58.73381613,60.380908897
Swedish Postcode Lottery,Kenya,0,0,0,0.230139,0.457207
Swedish Postcode Lottery,Uganda,0,0,0,3.424237,0.654752
Swedish Postcode Lottery,Zambia,0,0,0,0.575348,0.502536
Switzerland,Kenya,11.56257033,9.581055989,12.3595574446,12.8370835328,11.459831622
Switzerland,Uganda,2.34224323,2.0333023,3.179162875,3.4846735,3.633579719
Switzerland,Zambia,0.4538158,0.30060571,0.47249723,0.25436442,0.6100469
Thailand,Kenya,0.0880332,0.0705071,0.178407,0.174168,0.139464
Thailand,Uganda,0.114691,0.0972786,0.103481,0.0843658,0.100195
Thailand,Zambia,0.0193506,0.0113448,0.0345786,0.0355103,0.0301497
Turkey,Kenya,0.1493015,1.5734193,1.7293002,0.65457,1.4208537761
Turkey,Uganda,0.2435969,0.9198467,2.1872066,0.2912,1.32300008
Turkey,Zambia,0.0550059,0.387304,1.1163792,0.10449,0.654350766
UN Peacebuilding Fund,Kenya,0,0,0,0.15,0
UN Peacebuilding Fund,Uganda,0.6972357239,0.021467002,0.0217689,0.089559,1.014373
UNAIDS,Kenya,1.384472883,1.446455506,1.56144129,0.4477904,1.5487843884
UNAIDS,Uganda,1.1172645,0.8001739725,0.98121469,0.6753856,1.128877435
UNAIDS,Zambia,1.2588172,1.14928896,1.07343778,0.3298771,1.258678988
UNDP,Kenya,5.085558363,5.2814628,4.209455649,2.08043832,3.22510425377
UNDP,Uganda,8.99437017,7.587245958,7.6147715494207,6.7749151,7.839136949
UNDP,Zambia,4.1194155208,4.03743459,3.062700995469,1.90835512,3.129876867
UNFPA,Kenya,6.80314306254,5.445282059,3.1856179666929,2.97606,4.431255283
UNFPA,Uganda,5.9958786233267,4.4447768656,3.1293046257719,2.83622,4.34359790505
UNFPA,Zambia,3.0667707141,2.441469496442,1.9936854505118,1.7632,2.616512039859
UNHCR,Kenya,0,0,3.7894,0.325615,45.7666739
UNHCR,Uganda,0,0,0,3.2548,23.65844909
UNHCR,Zambia,2.78831,4.45326,7.97754,4.08157,10.5594
UNICEF,Kenya,13.5391494579,18.169831969472,16.92637847,17.9824245,64.76250784
UNICEF,Uganda,21.5151294492,23.1317190023,25.93300621,19.8786253,71.39042097
UNICEF,Zambia,9.209742564,9.72262040789,8.10315746,8.3642409,33.56880992
United Arab Emirates,Kenya,2.24424739,3.22644492,4.82688715,5.5587,4.03221666
United Arab Emirates,Uganda,1.07894391,1.74482326,3.92964904,3.24127,9.76749285
United Arab Emirates,Zambia,0,0.340576,0.338673,0,0
United Kingdom,Kenya,220.78931875478,185.745323835,210.31898493,157.1683624123,176.306467265
United Kingdom,Uganda,174.950662305,153.898727572,191.579732142,150.2080699772,201.3711507601
United Kingdom,Zambia,75.3918366193,80.10630176,72.130517397,41.83903333,66.9714519
United States,Kenya,752.93624567039,845.98763512865,882.3660472424,834.70448,676.462693437858
United States,Uganda,436.6780700093,563.90938611688,656.9726436736,616.95124,511.268384505154
United States,Zambia,282.51920466334,384.5320165161,509.101087093,482.755,319.142959541782
WFP,Kenya,12.3252032,6.15574943,8.258864682,0.18168,0.5209075637
WFP,Uganda,9.589816,7.0754393,14.0123784,3.481143,0.771702786
WFP,Zambia,1.3227788,0.8756166,2.361511,2.8378139,2.53739137
Wellcome Trust,Kenya,0,0,3.824086,4.1848232,2.1806285
Wellcome Trust,Uganda,0,0,0.4137296,0.8214745,4.16036797
Wellcome Trust,Zambia,0,0,0,0.379288,0
William & Flora Hewlett Foundation,Kenya,0,0,3.8291628,3.739,4.4507384
William & Flora Hewlett Foundation,Uganda,0,0,2.5259006,1.5175,3.7317893
William & Flora Hewlett Foundation,Zambia,0,0,0.5121799,0.6,0.5567472
World Diabetes Foundation,Kenya,0,1.172582,0.0316365,0,0
World Diabetes Foundation,Uganda,0,0,0.0316365,0,0.3004948
World Diabetes Foundation,Zambia,0,0.0469806,0,0,0
World Health Organisation,Kenya,6.652145744,1.803841901,2.354033551,2.00282588,1.5103126
World Health Organisation,Uganda,2.44150737555,1.830465613,1.5805773449,2.05952215,1.39930018
World Health Organisation,Zambia,1.991782,1.526065868,1.886643442,1.62623482,0.97852017
